student_id,age,python_skill,sql_skill,ml_skill,web_skill,data_interest,ai_interest,web_interest,programming_interest,course_id,course_title,category,difficulty,duration_hours,course_python,course_sql,course_ml,course_web,course_data_science,enrolled,progress,completed,rating,lessons_viewed,time_spent_hours
S033,21,0,5,4,0,0,1,1,3,C031,Database Design - Advanced Track 6,Database,Intermediate,22,1,5,1,1,4,1,48,0,3,12,13.7
S015,30,2,1,1,4,3,0,0,0,C030,Advanced SQL - Advanced Track 5,Database,Advanced,25,1,5,2,0,5,1,5,0,3,0,2.8
S087,27,0,4,0,2,4,5,3,3,C047,Full Stack Development - Advanced Track 22,Web Development,Advanced,50,4,2,2,5,2,0,0,0,0,1,1.5
S072,32,4,5,4,3,4,3,1,5,C024,Software Engineering,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,11,1.7
S034,33,3,1,3,0,1,3,0,3,C035,Natural Language Processing - Advanced Track 10,AI,Advanced,40,4,1,5,0,4,0,0,0,0,3,2.9
S096,20,1,5,3,3,4,1,5,3,C044,Advanced JavaScript - Advanced Track 19,Web Development,Advanced,35,3,0,1,5,1,0,0,0,0,1,0
S082,30,2,1,3,2,2,3,2,3,C024,Software Engineering,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,2,0
S004,31,1,3,4,2,0,1,5,3,C040,Power BI Fundamentals - Advanced Track 15,Data Science,Beginner,20,0,1,0,0,5,0,0,0,0,0,0
S079,25,3,1,2,3,3,0,3,2,C015,Power BI Fundamentals,Data Science,Beginner,20,0,1,0,0,5,0,0,0,0,0,6.9
S060,34,4,5,5,5,5,5,1,2,C045,React Development - Advanced Track 20,Web Development,Intermediate,30,3,0,1,5,1,0,0,0,0,0,2.1
S018,35,2,5,2,0,2,3,1,3,C003,Python for Data Science,Data Science,Intermediate,30,5,2,3,0,5,1,9,0,4,0,6
S015,30,2,1,1,4,3,0,0,0,C007,Machine Learning Fundamentals,AI,Intermediate,35,4,2,5,0,5,0,0,0,0,0,0
S050,35,0,2,4,4,1,3,1,0,C030,Advanced SQL - Advanced Track 5,Database,Advanced,25,1,5,2,0,5,0,0,0,0,0,2
S090,34,5,2,0,3,3,0,3,2,C035,Natural Language Processing - Advanced Track 10,AI,Advanced,40,4,1,5,0,4,0,0,0,0,0,0.6
S020,27,5,4,4,1,1,2,1,4,C027,Advanced Python - Advanced Track 2,Programming,Advanced,35,5,1,2,2,2,0,0,0,0,0,0
S079,25,3,1,2,3,3,0,3,2,C027,Advanced Python - Advanced Track 2,Programming,Advanced,35,5,1,2,2,2,1,81,0,4,18,22.3
S028,33,1,4,1,5,4,4,3,1,C029,SQL for Beginners - Advanced Track 4,Database,Beginner,15,1,5,1,0,4,1,32,0,3,4,7.4
S013,28,1,5,3,3,5,3,1,2,C044,Advanced JavaScript - Advanced Track 19,Web Development,Advanced,35,3,0,1,5,1,0,0,0,0,0,0
S083,26,0,3,0,5,4,0,2,1,C023,Git and GitHub,Programming,Beginner,10,2,0,0,3,0,0,0,0,0,1,2.6
S016,22,5,1,5,3,4,0,3,3,C030,Advanced SQL - Advanced Track 5,Database,Advanced,25,1,5,2,0,5,1,0,0,2,0,0
S007,30,0,4,2,5,4,2,4,1,C022,Full Stack Development,Web Development,Advanced,50,4,2,2,5,2,1,15,0,3,8,8.7
S009,26,3,5,2,1,2,2,1,5,C049,Software Engineering - Advanced Track 24,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,0,2.8
S030,31,3,5,0,5,5,5,0,0,C022,Full Stack Development,Web Development,Advanced,50,4,2,2,5,2,0,0,0,0,6,3.1
S077,24,3,3,4,5,0,4,3,3,C001,Python for Beginners,Programming,Beginner,20,5,1,0,1,2,0,0,0,0,0,0
S017,32,4,2,4,0,5,5,0,5,C035,Natural Language Processing - Advanced Track 10,AI,Advanced,40,4,1,5,0,4,1,64,0,3,10,26.9
S017,32,4,2,4,0,5,5,0,5,C001,Python for Beginners,Programming,Beginner,20,5,1,0,1,2,0,0,0,0,2,0
S076,24,0,3,3,2,4,3,3,0,C021,Node.js Backend Development,Web Development,Intermediate,32,4,1,1,5,1,0,0,0,0,0,0
S017,32,4,2,4,0,5,5,0,5,C048,Git and GitHub - Advanced Track 23,Programming,Beginner,10,2,0,0,3,0,1,0,0,2,0,0
S061,31,0,5,2,4,2,5,0,5,C029,SQL for Beginners - Advanced Track 4,Database,Beginner,15,1,5,1,0,4,0,0,0,0,4,0
S014,22,1,5,4,4,2,5,4,3,C029,SQL for Beginners - Advanced Track 4,Database,Beginner,15,1,5,1,0,4,0,0,0,0,0,0.4
S006,29,2,4,2,0,5,3,4,0,C047,Full Stack Development - Advanced Track 22,Web Development,Advanced,50,4,2,2,5,2,0,0,0,0,4,0
S067,20,1,5,2,1,1,1,0,0,C020,React Development,Web Development,Intermediate,30,3,0,1,5,1,0,0,0,0,3,0
S008,20,0,5,1,2,0,1,0,3,C031,Database Design - Advanced Track 6,Database,Intermediate,22,1,5,1,1,4,0,0,0,0,0,1.4
S014,22,1,5,4,4,2,5,4,3,C032,Machine Learning Fundamentals - Advanced Track 7,AI,Intermediate,35,4,2,5,0,5,1,45,0,2,7,16
S049,35,5,3,4,0,0,0,5,1,C039,Excel for Data Analysis - Advanced Track 14,Data Science,Beginner,12,0,1,0,0,4,0,0,0,0,4,0
S078,18,2,2,3,3,4,5,5,4,C028,Python for Data Science - Advanced Track 3,Data Science,Intermediate,30,5,2,3,0,5,0,0,0,0,6,0
S084,20,5,0,0,1,1,0,4,1,C042,HTML and CSS - Advanced Track 17,Web Development,Beginner,15,0,0,0,5,1,0,0,0,0,0,1.8
S028,33,1,4,1,5,4,4,3,1,C028,Python for Data Science - Advanced Track 3,Data Science,Intermediate,30,5,2,3,0,5,1,32,0,3,4,9
S059,21,3,4,1,2,0,5,3,0,C026,Python for Beginners - Advanced Track 1,Programming,Beginner,20,5,1,0,1,2,1,4,0,4,0,3.3
S041,28,1,2,3,1,5,5,2,3,C043,JavaScript Fundamentals - Advanced Track 18,Web Development,Beginner,25,2,0,0,5,1,0,0,0,0,1,0
S088,24,0,4,5,5,1,0,5,2,C031,Database Design - Advanced Track 6,Database,Intermediate,22,1,5,1,1,4,0,0,0,0,2,0.9
S012,28,0,1,0,2,3,2,0,1,C028,Python for Data Science - Advanced Track 3,Data Science,Intermediate,30,5,2,3,0,5,0,0,0,0,2,1.9
S017,32,4,2,4,0,5,5,0,5,C036,Data Analysis with Pandas - Advanced Track 11,Data Science,Beginner,18,5,3,2,0,5,0,0,0,0,0,0
S072,32,4,5,4,3,4,3,1,5,C022,Full Stack Development,Web Development,Advanced,50,4,2,2,5,2,1,65,0,5,14,32.4
S093,20,2,3,1,3,4,4,5,3,C004,SQL for Beginners,Database,Beginner,15,1,5,1,0,4,0,0,0,0,0,3.8
S046,35,1,2,2,4,1,5,2,1,C007,Machine Learning Fundamentals,AI,Intermediate,35,4,2,5,0,5,1,8,0,4,3,2.2
S029,33,3,1,0,0,5,3,2,3,C007,Machine Learning Fundamentals,AI,Intermediate,35,4,2,5,0,5,0,0,0,0,0,3.3
S015,30,2,1,1,4,3,0,0,0,C049,Software Engineering - Advanced Track 24,Programming,Intermediate,30,3,2,1,3,1,1,29,0,4,8,12.6
S072,32,4,5,4,3,4,3,1,5,C050,Object Oriented Programming - Advanced Track 25,Programming,Intermediate,25,4,1,1,3,1,0,0,0,0,0,2
S083,26,0,3,0,5,4,0,2,1,C036,Data Analysis with Pandas - Advanced Track 11,Data Science,Beginner,18,5,3,2,0,5,0,0,0,0,0,1
S089,21,4,0,2,4,3,5,2,0,C018,JavaScript Fundamentals,Web Development,Beginner,25,2,0,0,5,1,0,0,0,0,0,0.3
S098,27,5,4,2,3,4,4,2,3,C020,React Development,Web Development,Intermediate,30,3,0,1,5,1,1,53,0,4,8,22.2
S019,18,5,5,2,4,1,4,0,5,C037,Data Visualization - Advanced Track 12,Data Science,Beginner,15,3,2,1,0,5,1,10,0,2,0,5
S012,28,0,1,0,2,3,2,0,1,C048,Git and GitHub - Advanced Track 23,Programming,Beginner,10,2,0,0,3,0,0,0,0,0,2,1.9
S059,21,3,4,1,2,0,5,3,0,C022,Full Stack Development,Web Development,Advanced,50,4,2,2,5,2,0,0,0,0,1,0
S042,28,0,0,3,4,4,0,0,4,C050,Object Oriented Programming - Advanced Track 25,Programming,Intermediate,25,4,1,1,3,1,0,0,0,0,0,0.2
S007,30,0,4,2,5,4,2,4,1,C010,Natural Language Processing,AI,Advanced,40,4,1,5,0,4,0,0,0,0,0,2.9
S087,27,0,4,0,2,4,5,3,3,C006,Database Design,Database,Intermediate,22,1,5,1,1,4,0,0,0,0,0,0
S063,35,1,1,3,5,3,5,5,1,C039,Excel for Data Analysis - Advanced Track 14,Data Science,Beginner,12,0,1,0,0,4,0,0,0,0,0,1.2
S097,33,3,0,0,2,1,3,5,1,C033,Deep Learning with Python - Advanced Track 8,AI,Advanced,45,5,1,5,0,5,0,0,0,0,0,0
S037,19,5,2,0,0,4,3,4,4,C044,Advanced JavaScript - Advanced Track 19,Web Development,Advanced,35,3,0,1,5,1,0,0,0,0,0,0.7
S086,26,2,1,4,4,5,5,0,1,C020,React Development,Web Development,Intermediate,30,3,0,1,5,1,0,0,0,0,0,0
S077,24,3,3,4,5,0,4,3,3,C004,SQL for Beginners,Database,Beginner,15,1,5,1,0,4,0,0,0,0,0,0
S028,33,1,4,1,5,4,4,3,1,C050,Object Oriented Programming - Advanced Track 25,Programming,Intermediate,25,4,1,1,3,1,0,0,0,0,0,0
S023,35,1,1,5,3,4,1,2,4,C009,Artificial Intelligence Basics,AI,Beginner,25,3,1,4,0,4,0,0,0,0,4,2.6
S065,28,3,3,3,5,1,4,3,5,C036,Data Analysis with Pandas - Advanced Track 11,Data Science,Beginner,18,5,3,2,0,5,0,0,0,0,0,0
S010,26,5,5,5,0,4,5,1,4,C026,Python for Beginners - Advanced Track 1,Programming,Beginner,20,5,1,0,1,2,1,21,0,2,4,3.3
S074,25,2,3,0,5,2,1,2,2,C026,Python for Beginners - Advanced Track 1,Programming,Beginner,20,5,1,0,1,2,0,0,0,0,1,4.6
S015,30,2,1,1,4,3,0,0,0,C026,Python for Beginners - Advanced Track 1,Programming,Beginner,20,5,1,0,1,2,0,0,0,0,0,1.2
S080,30,5,1,3,1,4,4,0,3,C030,Advanced SQL - Advanced Track 5,Database,Advanced,25,1,5,2,0,5,0,0,0,0,2,0
S068,25,3,4,0,3,3,5,4,1,C006,Database Design,Database,Intermediate,22,1,5,1,1,4,1,11,0,3,2,3.9
S029,33,3,1,0,0,5,3,2,3,C022,Full Stack Development,Web Development,Advanced,50,4,2,2,5,2,1,56,0,3,14,34.5
S045,35,2,5,0,1,2,0,0,5,C047,Full Stack Development - Advanced Track 22,Web Development,Advanced,50,4,2,2,5,2,0,0,0,0,0,6.6
S019,18,5,5,2,4,1,4,0,5,C016,Web Development Fundamentals,Web Development,Beginner,25,2,1,0,5,2,1,1,0,3,0,0
S078,18,2,2,3,3,4,5,5,4,C010,Natural Language Processing,AI,Advanced,40,4,1,5,0,4,0,0,0,0,0,0
S023,35,1,1,5,3,4,1,2,4,C050,Object Oriented Programming - Advanced Track 25,Programming,Intermediate,25,4,1,1,3,1,0,0,0,0,0,0.5
S073,33,3,2,1,5,2,4,3,5,C049,Software Engineering - Advanced Track 24,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,1,5.6
S073,33,3,2,1,5,2,4,3,5,C042,HTML and CSS - Advanced Track 17,Web Development,Beginner,15,0,0,0,5,1,0,0,0,0,2,0
S081,18,0,5,3,1,3,1,0,2,C021,Node.js Backend Development,Web Development,Intermediate,32,4,1,1,5,1,1,0,0,4,1,0
S081,18,0,5,3,1,3,1,0,2,C020,React Development,Web Development,Intermediate,30,3,0,1,5,1,0,0,0,0,5,3.5
S046,35,1,2,2,4,1,5,2,1,C033,Deep Learning with Python - Advanced Track 8,AI,Advanced,45,5,1,5,0,5,0,0,0,0,0,0
S005,28,2,1,1,2,0,0,3,0,C004,SQL for Beginners,Database,Beginner,15,1,5,1,0,4,0,0,0,0,4,0
S083,26,0,3,0,5,4,0,2,1,C006,Database Design,Database,Intermediate,22,1,5,1,1,4,0,0,0,0,3,0
S060,34,4,5,5,5,5,5,1,2,C038,Statistics for Data Science - Advanced Track 13,Data Science,Intermediate,28,2,2,3,0,5,0,0,0,0,0,0
S006,29,2,4,2,0,5,3,4,0,C029,SQL for Beginners - Advanced Track 4,Database,Beginner,15,1,5,1,0,4,0,0,0,0,0,0
S025,29,3,4,3,0,1,1,0,2,C021,Node.js Backend Development,Web Development,Intermediate,32,4,1,1,5,1,0,0,0,0,1,0
S008,20,0,5,1,2,0,1,0,3,C029,SQL for Beginners - Advanced Track 4,Database,Beginner,15,1,5,1,0,4,0,0,0,0,0,0.4
S044,23,3,4,5,2,4,5,4,0,C046,Node.js Backend Development - Advanced Track 21,Web Development,Intermediate,32,4,1,1,5,1,0,0,0,0,1,2.1
S006,29,2,4,2,0,5,3,4,0,C016,Web Development Fundamentals,Web Development,Beginner,25,2,1,0,5,2,0,0,0,0,0,0
S068,25,3,4,0,3,3,5,4,1,C034,Artificial Intelligence Basics - Advanced Track 9,AI,Beginner,25,3,1,4,0,4,0,0,0,0,3,1
S037,19,5,2,0,0,4,3,4,4,C025,Object Oriented Programming,Programming,Intermediate,25,4,1,1,3,1,0,0,0,0,0,4.7
S009,26,3,5,2,1,2,2,1,5,C022,Full Stack Development,Web Development,Advanced,50,4,2,2,5,2,0,0,0,0,0,6.2
S037,19,5,2,0,0,4,3,4,4,C017,HTML and CSS,Web Development,Beginner,15,0,0,0,5,1,0,0,0,0,5,0
S019,18,5,5,2,4,1,4,0,5,C023,Git and GitHub,Programming,Beginner,10,2,0,0,3,0,0,0,0,0,4,0
S085,25,1,3,5,0,4,1,3,5,C026,Python for Beginners - Advanced Track 1,Programming,Beginner,20,5,1,0,1,2,0,0,0,0,2,3.2
S011,25,1,3,3,2,5,5,4,1,C020,React Development,Web Development,Intermediate,30,3,0,1,5,1,0,0,0,0,0,0
S043,24,4,2,1,2,0,1,2,2,C009,Artificial Intelligence Basics,AI,Beginner,25,3,1,4,0,4,0,0,0,0,0,0
S095,28,2,4,5,2,4,0,4,1,C044,Advanced JavaScript - Advanced Track 19,Web Development,Advanced,35,3,0,1,5,1,1,46,0,4,13,16.3
S066,23,5,0,2,4,5,5,4,2,C024,Software Engineering,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,4,0
S028,33,1,4,1,5,4,4,3,1,C022,Full Stack Development,Web Development,Advanced,50,4,2,2,5,2,1,16,0,3,3,9.2
S018,35,2,5,2,0,2,3,1,3,C010,Natural Language Processing,AI,Advanced,40,4,1,5,0,4,0,0,0,0,0,0
S013,28,1,5,3,3,5,3,1,2,C033,Deep Learning with Python - Advanced Track 8,AI,Advanced,45,5,1,5,0,5,0,0,0,0,0,0
S068,25,3,4,0,3,3,5,4,1,C003,Python for Data Science,Data Science,Intermediate,30,5,2,3,0,5,0,0,0,0,2,1.1
S080,30,5,1,3,1,4,4,0,3,C009,Artificial Intelligence Basics,AI,Beginner,25,3,1,4,0,4,1,19,0,3,2,1.6
S089,21,4,0,2,4,3,5,2,0,C050,Object Oriented Programming - Advanced Track 25,Programming,Intermediate,25,4,1,1,3,1,0,0,0,0,0,2.9
S093,20,2,3,1,3,4,4,5,3,C029,SQL for Beginners - Advanced Track 4,Database,Beginner,15,1,5,1,0,4,0,0,0,0,0,1.5
